business_id,business_name,business_address,business_postal_code,inspection_date,inspection_score,inspection_type,violation_description,risk_category,current_supervisor_districts
7491,AUTO CITY Food Mart,505 So. Van Ness Ave,94110,2019-08-07,98.0,Routine - Unscheduled,Permit license or inspection report not posted,Low Risk,2.0
5962,HILLWOOD SCHOOL,2521 SCOTT St,94115,2018-11-06,96.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,6.0
4694,CONVENIENCE DELI & GROCERY,1201 LAGUNA St,94115,2018-08-24,96.0,Routine - Unscheduled,Other low risk violation,Low Risk,11.0
7275,HONG KUN COMPANY,2558 NORIEGA St,94122,2016-11-22,98.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk,7.0
2352,SMILE'S  B.B.Q.,2619 MISSION St,94110,2016-12-30,98.0,Routine - Unscheduled,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,2.0
60254,Delise,327 Bay St,94133,2017-08-10,98.0,Routine - Unscheduled,Inadequate warewashing facilities or equipment,Low Risk,3.0
14909,White Swan Inn,845 Bush St,94108,2016-10-26,98.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk,3.0
38798,K's Kitchen,757 Monterey Blvd,94127,2016-10-05,96.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk,8.0
38231,Wines of California Wine Bar,Pier 39  Space N-111,94133,2017-09-26,98.0,Routine - Unscheduled,Improper storage use or identification of toxic substances,Low Risk,3.0
27790,Opera Plaza Cinema,601 Van Ness Ave,94102,2017-06-07,89.0,Routine - Unscheduled,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk,11.0
5814,FAIRMOUNT ELEMENTARY SCHOOL,65 CHENERY St,94131,2018-02-05,98.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk,5.0
33315,Cafe 101,1650 Holloway St 134,94132,2016-11-10,98.0,Routine - Unscheduled,Low risk vermin infestation,Low Risk,8.0
4755,Aunt Fanny's Hot Pretzels,Pier 39  Lot 12,94133,2018-05-31,96.0,Routine - Unscheduled,Improper storage of equipment utensils or linens,Low Risk,3.0
5175,NEIGHBORHOOD BAPTIST CHURCH,608 HAYES St,94102,2018-07-27,98.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk,11.0
2843,San Raku Restaurant,704 Sutter St,94109,2017-02-15,92.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk,3.0
3738,CINDERELLA BAKERY & CAFE,0436 BALBOA St,94118,2019-09-23,92.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk,4.0
5950,LICK-WILMERDING HIGH SCHOOL,755 OCEAN Ave,94112,2018-02-26,93.0,Routine - Unscheduled,Unclean or unsanitary food contact surfaces,High Risk,8.0
1368,Starbucks Coffee,701 Battery St,94111,2017-02-27,98.0,Routine - Unscheduled,Improper storage of equipment utensils or linens,Low Risk,3.0
5940,Sts. Peter & Paul School,666 Filbert St,94133,2017-09-25,93.0,Routine - Unscheduled,High risk vermin infestation,High Risk,3.0
5019,PEET'S COFFEE & TEA,2300 16th St #240,94103,2017-04-28,98.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk,9.0
5867,MALCOLM X ELEMENTARY SCHOOL,350 Harbor Rd,94124,2019-09-04,96.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,9.0
37166,Luce Restaurant &  Bar,888 Howard St 1st Floor,94103,2018-01-23,96.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk,10.0
63488,The Salad Place,400 London St,94112,2017-05-11,96.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk,1.0
60825,Living Room Bar - W San Francisco,181 03rd St 3/F,94103,2019-02-27,96.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk,10.0
10280,TENDERLOIN ELEMENTARY SCHOOL,627 TURK ST,94102,2019-02-28,98.0,Routine - Unscheduled,Improper or defective plumbing,Low Risk,10.0
61324,HRD Coffee Shop Inc.,521 03rd St A,94107,2017-09-11,93.0,Routine - Unscheduled,Unclean or unsanitary food contact surfaces,High Risk,10.0
26341,"Natural Market, Inc.",2201 PINE St,94115,2018-07-23,96.0,Routine - Unscheduled,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk,11.0
5842,GRATTAN ELEMENTARY SCHOOL,165 GRATTAN St,94117,2017-09-18,98.0,Routine - Unscheduled,Unapproved or unmaintained equipment or utensils,Low Risk,11.0
217,PROGRESSIVE GROUNDS,400 CORTLAND Ave,94110,2017-09-25,93.0,Routine - Unscheduled,High risk food holding temperature,High Risk,2.0
2244,Starbucks Coffee Company,295 California St,94111,2019-02-06,96.0,Routine - Unscheduled,Food safety certificate or food handler card not available,Low Risk,3.0
2942,Whole Foods Market,1765 CALIFORNIA St,94109,2018-01-19,96.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,6.0
428,Caffe Ambrosia,14 Trinity Pl,94104,2019-05-07,98.0,Routine - Unscheduled,Inadequate ventilation or lighting,Low Risk,3.0
251,THE BEANERY INC.,602 Irving St,94122,2018-03-06,98.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk,11.0
